['48.5', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_zjxw_cas_inmediapublish']
['48.5', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mlf_wcmchnldoc']
['46.0', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_zjxw_red_boat_article']
['44.7', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_rs_user_unread_article_keywords']
['44.6', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_cs_content_cloud_tongji_wx_article_per_tmy']
['43.9', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_zjxw_app_event_ua_di']
['43.8', 'G', '/user/datahome/hive_db/datahome.db/edw_dim_tmxw_rs_active_device']
['42.2', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_zjxw_mop_idfa']
['40.2', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_zjxw_log_reptile']
['40.2', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_zjxw_log_original']
['39.8', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_wangmai_web_log']
['39.3', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_zjxw_account_column']
['39.3', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_tmxw_app_event_read_di']
['37.6', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_cs_cangnan_user_channel_summary_m']
['37.3', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mlf_xwcmdocsharerel']
['37.3', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_cs_cangnan_user_subject_summary_m']
['37.3', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_cs_cangnan_user_column_summary_m']
['36.4', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_tmxw_article_summary_d']
['35.5', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_app_county_channel_article_summary_1d']
['35.3', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_zjxw_county_channel_article_summary_1d']
['35.1', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_24news_log_di']
['34.0', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mlf_xwcmfgduser_2_0']
['34.0', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_cs_cangnan_user_article_summary_m']
['33.9', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mlf_xwcmfgd_2_0']
['32.8', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_zjxw_content_city_channel_article_summary_w']
['31.8', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_24h_cfbonusers_table']
['31.3', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_rs_user_unread_article_info']
['31.1', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_app_content_city_channel_article_summary_w']
